;lat;lon
1;53.1467703308508;-1.7138671875
2;45.8407594115329;6.88774108886719
3;54.4828045595825;48.9111328125
4;55.7518493917353;37.6171875
5;37.7707147384961;14.9908447265625
6;41.0151382152151;28.98193359375
7;60.8449105736492;31.640625
8;58.0197370001873;44.912109375
9;71.1593914168144;25.72998046875
10;47.1747783392991;25.55419921875
11;64.2063772432085;58.974609375
12;45.8230574622825;6.8389892578125
13;41.9038102024218;12.4530029296875
14;36.1378747184073;17.5341796875
15;51.4274707586663;6.72981262207031
16;34.8859309407532;25.576171875
17;62.0215281910076;27.333984375
18;54.1913695455611;9.52789306640625
19;38.736946065676;-9.140625
20;37.6142314154242;14.0185546875
21;35.1738083179996;24.873046875
22;35.9957853864203;-5.60302734375
23;50.812877010309;7.03125
24;55.6279959542672;3.2958984375
25;52.3219108859477;5.537109375
26;65.6582745198266;38.3203125
27;40.8205647149359;14.4271087646484
28;48.275881527435;8.15185546875
29;51.9188616490839;4.47418212890625
30;68.989925030567;33.06884765625
31;49.3823727870096;-15.29296875
32;65.072130085607;-18.6328125
33;46.8789683350769;18.9404296875
34;62.3496092757304;6.6796875
35;51.0284400560299;1.47628784179688
36;70.55417853776078;11.162109375
37;55.97379820507658;18.544921875000004
38;43.389081939117496;11.865234375
39;42.74701217318067;22.939453125
40;41.3108238809182;-4.042968750000001
